00007257-r,smartly;modishly;sprucely,in a fashionable manner,00339037-r,fashionably,in a fashionable manner
00025503-r,bloody;damn;all-fired;all-firedly,extremely,00446217-r,roaring,extremely
00034576-r,shortly,for a short time,00093232-r,briefly,for a short time
00056738-r,maladroitly,in a maladroit manner,00230033-r,ineptly,in a maladroit manner
00058571-r,right;flop,completely,00453945-r,sheer,completely
00062352-r,presto,suddenly,00153015-r,all of a sudden;all at once,suddenly
00112752-r,most,very,00431167-r,precious;preciously,very
00150568-r,actually;really,in actual fact,00228639-r,properly speaking;strictly speaking;to be precise,in actual fact
00193863-r,sympathetically;empathetically,in a sympathetic manner,00240008-r,pityingly;compassionately,in a sympathetic manner
00205553-r,incorrectly;wrongly;wrong,in an incorrect manner,00337789-r,falsely;incorrectly,in an incorrect manner
00256795-r,semiannually;biyearly,twice a year,00280604-r,biannually,twice a year
00400548-r,meditatively,in a meditative manner,00407429-r,musingly,in a meditative manner
00463915-r,sorely,to a great extent,00497644-r,whopping,to a great extent
00468690-r,stiff,to a great degree,00497861-r,widely,to a great degree
02700534-n,Allen wrench,a wrench for Allen screws,92299200-n,zeta key;Unbrako key;Inbus key;zeta wrench;Allen key;hex key;Unbrako wrench;Inbus wrench,a wrench for Allen screws
02719537-n,antiballistic missile;ABM,a defensive missile designed to shoot down incoming intercontinental ballistic missiles,92299310-n,anti-ballistic missile,a defensive missile designed to shoot down incoming intercontinental ballistic missiles
03237120-n,drainage system,a system of watercourses or drains for carrying off excess water,92302385-n,storm drain;stormwater drain;drain system;drainage well;storm sewer,a system of watercourses or drains for carrying off excess water
03691288-n,Loestrin,trade name for an oral contraceptive containing estradiol and norethindrone,03783668-n,Modicon,trade name for an oral contraceptive containing estradiol and norethindrone,03835818-n,Norlestrin,trade name for an oral contraceptive containing estradiol and norethindrone
